source,collection_type,collection,title,file_path,width,height,original_width,original_height,source_url,download_url,artist,credit,license,usage_terms,license_url,attribution_required,copyrighted
openverse,query,cloud formation,Massive Cloud Formation of Monstrosity,data/raw/images/web_sample/cloud_formation/a8651d82-cb22-40ed-b672-356a67f340cd_Massive_Cloud_Formation_of_Monstrosity.jpg,1024,768,1024,681,https://www.flickr.com/photos/69135870@N00/5033806952,https://live.staticflickr.com/4124/5033806952_14f46a3cf9_b.jpg,mendhak,flickr,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,true,true
openverse,query,cloud formation,*Interlude* Strange cloud formation,data/raw/images/web_sample/cloud_formation/df387138-766b-4491-a509-11cd939ea393__Interlude_Strange_cloud_formation.jpg,1024,768,1024,768,https://www.flickr.com/photos/15734079@N00/1004198774,https://live.staticflickr.com/1314/1004198774_a51cda1e59_b.jpg,Michel Filion,flickr,by,2.0,https://creativecommons.org/licenses/by/2.0/,true,true
openverse,query,cloud formation,Massive cloud formation between two mountain peaks,data/raw/images/web_sample/cloud_formation/17976f18-0947-4139-ab75-a90b741478bc_Massive_cloud_formation_between_two_mountain_peaks.jpg,1024,768,1024,680,https://www.flickr.com/photos/10361931@N06/5285236596,https://live.staticflickr.com/5122/5285236596_da2cd3fdec_b.jpg,Horia Varlan,flickr,by,2.0,https://creativecommons.org/licenses/by/2.0/,true,true
openverse,query,cloud formation,Strange cloud formations,data/raw/images/web_sample/cloud_formation/47c4d633-0e5f-4bca-bd4a-ca9e73dc307e_Strange_cloud_formations.jpg,1024,768,1024,683,https://www.flickr.com/photos/34427465361@N01/310948530,https://live.staticflickr.com/122/310948530_4f3cd854ed_b.jpg,Peter,flickr,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,true,true
openverse,query,cloud formation,Cloud formation over Bribie Island-1=,data/raw/images/web_sample/cloud_formation/5b40173c-ea80-4ad5-9b1b-a25a34ec53d6_Cloud_formation_over_Bribie_Island-1.jpg,1024,768,1024,692,https://www.flickr.com/photos/34534185@N00/13934350587,https://live.staticflickr.com/5280/13934350587_3d4f22cc04_b.jpg,Sheba Also 18 Million Views,flickr,by-sa,2.0,https://creativecommons.org/licenses/by-sa/2.0/,true,true
openverse,query,cloud formation,Pileus Cloud formation over thunderheads,data/raw/images/web_sample/cloud_formation/6bf885c2-e6fb-45f9-81b5-1efed7ee0189_Pileus_Cloud_formation_over_thunderheads.jpg,1024,768,1024,683,https://www.flickr.com/photos/73645804@N00/8604353127,https://live.staticflickr.com/8121/8604353127_11514a022f_b.jpg,woodleywonderworks,flickr,by,2.0,https://creativecommons.org/licenses/by/2.0/,true,true
openverse,query,cloud formation,Cloud formation from refinery in Curacao,data/raw/images/web_sample/cloud_formation/2770043b-d6cb-4280-962b-a6252928d343_Cloud_formation_from_refinery_in_Curacao.jpg,1024,768,4813,3187,https://commons.wikimedia.org/w/index.php?curid=30752730,https://upload.wikimedia.org/wikipedia/commons/a/aa/Cloud_formation_from_refinery_in_Curacao.jpg,HdeK,wikimedia,by-sa,3.0,https://creativecommons.org/licenses/by-sa/3.0/,true,true
openverse,query,cloud formation,"Airplane Wing with Sunset and Nifty Cloud Formation, Approaching Chicago, March 2012",data/raw/images/web_sample/cloud_formation/28f238b1-4877-4d48-8b0c-acd8bf17ff22_Airplane_Wing_with_Sunset_and_Nifty_Cloud_Formation_Approaching_Chicago_March_2012.jpg,1024,768,1024,768,https://www.flickr.com/photos/36521980095@N01/6887279640,https://live.staticflickr.com/7098/6887279640_87754deec0_b.jpg,danxoneil,flickr,by,2.0,https://creativecommons.org/licenses/by/2.0/,true,true
openverse,query,cloud formation,Pileus Cloud formation over thunderheads,data/raw/images/web_sample/cloud_formation/34b4b709-147b-42fa-995b-d3f2f3a30286_Pileus_Cloud_formation_over_thunderheads.jpg,1024,768,1024,683,https://www.flickr.com/photos/73645804@N00/8604355057,https://live.staticflickr.com/8114/8604355057_81ffc2e6c4_b.jpg,woodleywonderworks,flickr,by,2.0,https://creativecommons.org/licenses/by/2.0/,true,true
openverse,query,cloud formation,Romantic Cloud Formation,data/raw/images/web_sample/cloud_formation/882d56d8-4224-464b-ab9c-b56ca85bce0d_Romantic_Cloud_Formation.jpg,1024,768,1024,768,https://www.flickr.com/photos/10413717@N08/5440185100,https://live.staticflickr.com/5256/5440185100_00e481d652_b.jpg,Smabs Sputzer (1956-2017),flickr,by,2.0,https://creativecommons.org/licenses/by/2.0/,true,true
